City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,anadyr,64.75,177.4833,0.28,100,75,3.0,RU,1684874586
332,pontianak,-0.0333,109.3333,24.99,100,100,1.03,ID,1684874586
333,adam,22.3756,57.5233,30.01,49,84,2.28,OM,1684874586
334,dzhambeyty,50.2536,52.595,19.89,37,55,6.31,KZ,1684874586
335,vilyuysk,63.7553,121.6247,4.46,54,99,2.26,RU,1684874586
336,gien,47.6933,2.6309,14.17,77,95,5.73,FR,1684874586
337,auki,-8.7676,160.7034,26.36,87,42,1.09,SB,1684874586
338,corn island,12.1694,-83.0418,28.12,73,100,3.16,NI,1684874587
339,dubbo,-32.25,148.6167,-0.93,86,58,2.06,AU,1684874587
340,richards bay,-28.783,32.0377,18.1,83,99,3.18,ZA,1684874587
341,frankfort,-27.2667,28.4833,9.67,63,22,1.78,ZA,1684874422
342,ponta delgada,37.7333,-25.6667,17.4,77,20,5.66,PT,1684874587
343,general roca,-39.0333,-67.5833,19.23,27,57,7.61,AR,1684874587
344,la gi,10.6667,107.7833,27.08,82,100,3.68,VN,1684874587
345,sinan,34.8262,126.1086,13.06,74,98,0.8,KR,1684874587
346,tual,-5.6667,132.75,27.52,79,65,11.54,ID,1684873991
347,san angelo,31.4638,-100.437,34.6,46,0,4.12,US,1684873859
348,goure,13.9835,10.2704,33.3,22,11,1.02,NE,1684874587
349,saint-pierre,-21.3393,55.4781,24.2,69,100,1.54,RE,1684873978
350,bhatkal,13.9667,74.5667,27.49,84,52,1.41,IN,1684874588
351,hadibu,12.65,54.0333,29.15,72,13,3.58,YE,1684874588
352,atafu village,-8.5421,-172.5159,28.16,74,98,3.97,TK,1684874588
353,funafuti,-8.5243,179.1942,31.0,84,75,0.51,TV,1684874008
354,tromso,69.6496,18.957,7.01,87,100,0.0,NO,1684874152
355,gadzhiyevo,69.2551,33.3362,13.5,65,35,3.7,RU,1684874119
356,jianshui,23.6363,102.8264,19.74,52,0,0.78,CN,1684874588
357,kone,-21.0595,164.8658,20.27,65,3,2.2,NC,1684874588
358,bramsche,52.4,7.9833,9.99,71,0,3.45,DE,1684874588
359,nar'yan-mar,67.6713,53.087,14.83,64,85,3.74,RU,1684873996
360,sorong,-0.8833,131.25,25.68,87,100,3.9,ID,1684873999
361,owando,-0.4819,15.8999,25.23,79,82,0.55,CG,1684874589
362,laranjeiras do sul,-25.4078,-52.4161,17.55,80,0,1.3,BR,1684874589
363,papao,-17.75,-149.55,28.82,87,99,5.51,PF,1684874157
364,boa esperanca,-21.09,-45.5658,18.01,66,28,1.73,BR,1684874589
